seed,mode,status,delta_edge_mean,delta_node_mean,delta_near_edge_mean,delta_far_edge_mean,delta_near_minus_far,common_edge_delta_mean,common_edge_delta_mean_near,common_edge_delta_mean_far,edge_jaccard,edges_only_baseline,edges_only_perturbed,n_common_edges,support_jaccard
58,frozen_union,ok,0.01567404524312299,0.02004473015077024,0.04131584486859258,-0.023399173233782877,0.06471501810237545,0.015674045243123096,0.04131584486859256,-0.023399173233782773,1.0,0.0,0.0,53.0,0.5094339622641509
59,free,ok,0.027635016899615422,0.05835850694997671,-0.04895005206623673,0.15228500930678757,-0.20123506137302427,0.039698931990022314,0.028207970666391493,0.05118989331365312,0.48148148148148145,14.0,14.0,26.0,0.48148148148148145
59,frozen_baseline,ok,0.05430237975628055,0.05067678453877772,0.09073099522827657,-0.021357052377864977,0.11208804760614155,0.054302379756280564,0.09073099522827656,-0.02135705237786498,1.0,0.0,0.0,40.0,0.48148148148148145
59,frozen_perturbed,ok,-0.042267179253371645,-0.039055450908432626,-0.03392605537168639,-0.05616905238951381,0.02224299701782742,-0.042267179253371645,-0.033926055371686366,-0.05616905238951382,1.0,0.0,0.0,40.0,0.48148148148148145
59,frozen_intersection,ok,0.03318000869293792,0.04461074777228097,0.007631587571536744,0.04259258489555945,-0.034960997324022705,0.033180008692937926,0.00763158757153667,0.04259258489555944,1.0,0.0,0.0,26.0,0.48148148148148145
59,frozen_union,ok,0.003399631504480971,0.00746210367848027,0.02716206447790187,-0.13323435809268908,0.16039642257059095,0.0033996315044810227,0.0271620644779019,-0.13323435809268908,1.0,0.0,0.0,54.0,0.48148148148148145
60,free,ok,0.026567650238906393,0.021575505285357455,0.07984507600739446,-0.26222485914476845,0.342069935152163,-0.01940859876910711,0.03684456692636213,-0.2444212615509841,0.6,10.0,10.0,30.0,0.6
60,frozen_baseline,ok,0.06386755637022884,0.05554434747132969,0.09894813218223847,-0.10151230102924506,0.20046043321148355,0.06386755637022887,0.09894813218223848,-0.10151230102924506,1.0,0.0,0.0,40.0,0.6
60,frozen_perturbed,ok,-0.08260599350911985,-0.08074906174029733,-0.09717836971758595,-2.9194994478703995e-05,-0.09714917472310725,-0.08260599350911987,-0.09717836971758595,-2.919499447873175e-05,1.0,0.0,0.0,40.0,0.6
60,frozen_intersection,ok,-0.0036952743193206794,0.004828993295510425,0.022463480623606702,-0.03359099425409488,0.056054474877701585,-0.0036952743193206777,0.022463480623606716,-0.03359099425409484,1.0,0.0,0.0,30.0,0.6
60,frozen_union,ok,-0.014309522679246345,-0.026275903596799544,-0.012241992142671715,-0.11561851897140307,0.10337652682873136,-0.01430952267924635,-0.012241992142671722,-0.11561851897140307,1.0,0.0,0.0,50.0,0.6
61,free,ok,-0.027376564298070533,-0.015222234490707753,0.03034135964399723,-0.13825483243455702,0.16859619207855425,0.006927919059837829,0.08720235179411785,-0.13756605986186624,0.5384615384615384,12.0,12.0,28.0,0.5384615384615384
61,frozen_baseline,ok,0.05011413056790914,0.05194258212570288,0.08769109481491089,-0.01967166017652261,0.1073627549914335,0.050114130567909185,0.08769109481491093,-0.019671660176522592,1.0,0.0,0.0,40.0,0.5384615384615384
61,frozen_perturbed,ok,-0.14415583678271274,-0.136172117814617,-0.1521644302758974,-0.11212146280997415,-0.04004296746592326,-0.14415583678271277,-0.15216443027589738,-0.11212146280997415,1.0,0.0,0.0,40.0,0.5384615384615384
61,frozen_intersection,ok,-0.03889704403548458,-0.03167428814865994,-0.008000309089359753,-0.09451116693850935,0.0865108578491496,-0.038897044035484586,-0.0080003090893597,-0.09451116693850935,1.0,0.0,0.0,28.0,0.5384615384615384
61,frozen_union,ok,-0.05193675851957513,-0.045548576949580255,-0.03140683138322031,-0.15002418817104815,0.11861735678782784,-0.05193675851957514,-0.031406831383220306,-0.15002418817104818,1.0,0.0,0.0,52.0,0.5384615384615384

