topology,seed,n,hilbert_dim,subsystem_size,d_A,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,g2_plateau,C_modular,candidate_L,family,spearman_lambda_kappa,beta_pred_from_alpha,abs_beta_minus_pred,fit_ok,r2,A_fit,beta,B_fit
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,schur,pos,1.0,,,1,0.9645244954280445,19.61290000290688,0.26996173931941614,-0.6311951992565145
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,schur,neg,1.0,,,1,1.1102230246251565e-16,0.13659375638181634,1.371380454533174e-16,7.32780626231791
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,input_induced,pos,0.8224783208299743,,,1,0.6597926534664793,5.6680791677304665,0.3663141581589371,5.498576585893495
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,input_induced,neg,0.8224783208299743,,,1,1.1102230246251565e-16,0.06378882021116114,7.857167141645153e-20,7.400611200751401
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,mi_normalized,pos,1.0,,,1,0.946515336256593,7.003062214607101,0.9433389778956219,0.526851145417115
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,mi_normalized,neg,1.0,,,1,0.0,0.24809900837805288,2.133628229313122e-30,7.2163010103724154
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,induced,pos,1.0,,,1,0.6191143348707694,14.310726223838941,0.37256692369849265,7.488172459780754
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,induced,neg,1.0,,,1,-3.552713678800501e-15,0.11460632765972124,1.8116133564738843e-14,10.266157576132278
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,schur,pos,1.0,,,1,0.929469793047824,24.276768340176165,0.1917793480766101,-2.6367600180940625
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,schur,neg,1.0,,,1,0.0,0.15642368039432317,1.1449281689104977e-17,10.224340222990476
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,input_induced,pos,0.8224783208299743,,,1,0.6176923671090536,8.186934031152996,0.4266762966425821,7.586418176198594
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,input_induced,neg,0.8224783208299743,,,1,0.0,0.09655211954156336,2.3842794532309118e-20,10.284211783843235
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,mi_normalized,pos,1.0,,,1,0.9406963126609137,10.86199666800293,0.5628445189943192,0.6050658962460103
chain,2,16,65536,4,16,"2,8,14,15",15,-26.44731203450074,0.020406538586388953,0.4246683013882631,0.1219406264906911,0.015284663825062765,0.26418024520820205,0.21441674775390185,0.03758685236809241,0.6013896378894785,mi_normalized,neg,1.0,,,1,-1.0658141036401503e-14,0.09368179658112843,1.2600074797687505e-13,10.287082107529677
