geometry,N_input,N_actual,target_dim,expected_curvature,k,kernel_factor,epsilon,density,alpha_idleness,i,j,edge_weight,intrinsic_edge_length,graph_distance,kappa_OR
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,32,36,0.8007374029168081,0.19634954084936207,0.19634954084936207,-0.04917481772277221
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,16,19,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.13113284726072616
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,117,123,0.6065306597126336,0.294524311274043,0.294524311274043,0.0
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,91,94,0.8824969025845948,0.14726215563702194,0.14726215563702194,-0.13113284726072494
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,46,47,0.986207116743916,0.049087385212340795,0.049087385212340795,-0.39339854178217437
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,93,97,0.8007374029168077,0.1963495408493623,0.1963495408493623,-0.09834963544554443
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,3,127,0.8007374029168077,0.1963495408493623,0.19634954084936157,-0.04917481772277377
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,40,43,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.0
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,51,56,0.7066482778577161,0.24543692606170264,0.24543692606170264,3.3306690738754696e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,40,41,0.9862071167439164,0.04908738521234035,0.04908738521234035,0.19669927089108885
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,63,68,0.7066482778577161,0.24543692606170264,0.24543692606170264,0.0
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,40,42,0.9459594689067653,0.09817477042468115,0.09817477042468115,5.551115123125783e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,99,100,0.9862071167439164,0.04908738521234035,0.04908738521234035,0.19669927089108807
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,84,89,0.7066482778577161,0.24543692606170264,0.24543692606170264,0.03933985417821806
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,83,85,0.9459594689067659,0.0981747704246807,0.0981747704246807,0.09834963544554365
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,3,7,0.8007374029168081,0.19634954084936207,0.19634954084936207,0.0983496354455452
