sigma,omega,chi,psi,normalize_components,center,T00_sum,Taa_sum,Tgrad_sum,Fflux_sum,Taa_over_T00,Tgrad_over_T00,Fflux_over_T00,pearson_flux_abs_delta_R,pearson_flux_abs_delta_R_p,spearman_flux_abs_delta_R,spearman_flux_abs_delta_R_p,pearson_flux_delta_R,pearson_flux_delta_R_p,spearman_flux_delta_R,spearman_flux_delta_R_p,spearman_full_abs_delta_R,spearman_full_abs_delta_R_p,spearman_full_delta_R,spearman_full_delta_R_p,spearman_Fflux_abs_delta_R,spearman_Fflux_abs_delta_R_p,spearman_Fflux_delta_R,spearman_Fflux_delta_R_p
0.1,-0.5,0.5,-5.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.12223591073891608,0.607679275786731,0.01957833545591994,0.9347050620167712,0.3364980377106591,0.14687169803286718,0.3990968381399065,0.08130383704377477,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,-3.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.15060819610984105,0.5262094077556713,0.05722898056345829,0.8105999621910354,0.3265769660684646,0.15992057264740422,0.35542208981516205,0.12408089820670001,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,-1.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.3009218470077823,0.1973140046215805,0.29518105764310065,0.20641943482341357,0.2601183326748807,0.26804140570314494,0.2710846447742761,0.2476503082272005,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,-0.5,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.5003420154354581,0.02465545737013347,0.4216872252044295,0.06404455992144599,0.12106716492555403,0.6111423811092792,0.19427732875489787,0.4117860203088761,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,0.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.5152665610533254,0.020067211225768766,0.5105427476582199,0.021438975940794785,-0.3386319853802978,0.14416526181952005,-0.33885580596784515,0.14388343315365795,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,0.5,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.19179949374743258,0.4178909039570197,0.24548220610115,0.2968498044586557,-0.3971004242071598,0.08297995857882746,-0.5015065928324108,0.024270050442149575,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,1.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.0837384458762141,0.7255929240959109,0.12198809014842424,0.6084129233269858,-0.38643814901991663,0.09236728652697855,-0.5105427476582199,0.021438975940794785,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,3.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,-0.01917637962660413,0.936042953901508,0.06777116119356902,0.7764925200348324,-0.3662565398309773,0.11223051412127755,-0.4864463347893955,0.029637911341915357,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,5.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,-0.043239905691473575,0.8563617652741351,0.06777116119356902,0.7764925200348324,-0.3601699372000584,0.11878289278688664,-0.4864463347893955,0.029637911341915357,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
0.1,-0.5,0.5,10.0,True,12,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,-0.062053778627393044,0.794945447466451,0.06777116119356902,0.7764925200348324,-0.3550487865691015,0.12450447935384949,-0.4864463347893955,0.029637911341915357,0.5105427476582199,0.021438975940794785,-0.33885580596784515,0.14388343315365795,0.05572295475915675,0.8155009094845299,-0.4743981283549832,0.03456890051123108
