geometry,N_actual,k,epsilon,density,sigma,perturbation_strength,i,j,edge_distance_to_source,phi_edge,edge_weight_before,edge_weight_after,edge_factor,kappa_before,kappa_after,delta_kappa,abs_delta_kappa
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,96,98,0.39528470752104744,0.0843542765984694,0.6703200460356393,0.6533567372638026,0.9746937170204591,-0.043883866678744,-0.03927930446498973,0.004604562213754271,0.004604562213754271
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,124,142,0.2576941016011038,0.29635691008515663,0.6065306597126334,0.5526057940573291,0.911092926974453,-0.003935088781842566,-0.0018156888576168484,0.0021193999242257178,0.0021193999242257178
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,158,190,0.3801726581436387,0.13131819543774603,0.6703200460356393,0.6439124803922952,0.9606045413686762,-0.010835059979309669,-0.011469873537084618,-0.0006348135577749492,0.0006348135577749492
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,72,74,0.25,0.408604202644332,0.6703200460356393,0.5881513696575681,0.8774187392067004,0.0,-0.004434975555557941,-0.004434975555557941,0.004434975555557941
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,237,254,0.4881406047441659,0.030811579150070118,0.8187307530779818,0.8111628368576642,0.990756526254979,-0.07286131050743672,-0.07083488228872237,0.002026428218714349,0.002026428218714349
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,223,225,0.5376453291901642,0.019493880189669337,0.6065306597126334,0.6029835689090937,0.9941518359430992,-0.06670556813802886,-0.0654345971414596,0.001270970996569254,0.001270970996569254
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,103,135,0.0625,0.8650151037860594,0.6703200460356393,0.496368956778221,0.7404954688641823,0.005791178843825406,-0.004552412516516391,-0.010343591360341797,0.010343591360341797
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,58,60,0.3365728004459065,0.181652595840801,0.6703200460356393,0.6337904331136895,0.9455042212477597,0.0,-0.001187725168029452,-0.001187725168029452,0.001187725168029452
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,102,120,0.0625,0.8107747352681767,0.6065306597126334,0.45900273919447054,0.756767579419547,-0.010399878670180662,-0.01839425448090104,-0.007994375810720378,0.007994375810720378
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,41,55,0.31868871959954903,0.2148844796738202,0.6065306597126334,0.567430452147063,0.9355346560978539,0.012638432368056951,0.011094406775225552,-0.0015440255928313995,0.0015440255928313995
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,22,245,0.4550068680800324,0.06283721655841842,0.6065306597126334,0.5950968501885285,0.9811488350324745,0.05209869485131102,0.055344485000351495,0.003245790149040473,0.003245790149040473
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,50,68,0.3535533905932738,0.12462772119289818,0.6065306597126334,0.5838534995265502,0.9626116836421306,0.010890337682508355,0.01355235384583009,0.0026620161633217343,0.0026620161633217343
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,135,150,0.0625,0.8650151037860594,0.8187307530779818,0.6062664128740052,0.7404954688641823,0.04407976061979435,0.036630566290438926,-0.007449194329355424,0.007449194329355424
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,31,45,0.4881406047441659,0.027402753731032656,0.6065306597126334,0.6015444766231056,0.9917791738806903,0.008793277291837542,0.010424646761321266,0.0016313694694837233,0.0016313694694837233
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,19,51,0.4419417382415922,0.05340426254711911,0.6703200460356393,0.6595806617169141,0.9839787212358643,0.0,0.0011901215784086983,0.0011901215784086983,0.0011901215784086983
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,74,91,0.2651650429449553,0.3872245504560208,0.8187307530779818,0.7236209587364395,0.8838326348631937,-0.06938648561999972,-0.07450323354268296,-0.00511674792268324,0.00511674792268324
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,54,68,0.3365728004459065,0.21823340304422656,0.6065306597126334,0.5668210847367091,0.9345299790867321,-0.02258241780682746,-0.024281491414129386,-0.0016990736073019264,0.0016990736073019264
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,137,154,0.0625,0.8650151037860594,0.8187307530779818,0.6062664128740052,0.7404954688641823,-0.08803952168235285,-0.09623289293407522,-0.00819337125172237,0.00819337125172237
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,184,185,0.1875,0.6220794056672034,0.9048374180359596,0.7359732010647827,0.813376178299839,2.220446049250313e-16,-0.00777528439058317,-0.007775284390583392,0.007775284390583392
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,3,36,0.45069390943299864,0.0429760725923647,0.6065306597126334,0.598710768014242,0.9871071782222905,-0.005179787825860593,-0.0022935355961937187,0.0028862522296668747,0.0028862522296668747
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,201,217,0.2576941016011038,0.3499733624913697,0.9048374180359596,0.8098367199265435,0.8950079912525891,-0.07081860655944494,-0.06787930096449779,0.0029393055949471503,0.0029393055949471503
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,24,247,0.4375,0.08418929256163467,0.6065306597126334,0.591211643565189,0.9747432122315096,0.05209869485131102,0.0559590733877644,0.0038603785364533794,0.0038603785364533794
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,183,200,0.19764235376052372,0.5279298119149276,0.8187307530779818,0.6890610413335541,0.8416210564255218,0.07833064110741306,0.07670106550961153,-0.0016295755978015247,0.0016295755978015247
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,155,156,0.19764235376052372,0.51697279583068,0.9048374180359596,0.7645045191036806,0.844908161250796,0.0,0.0015442940347063505,0.0015442940347063505,0.0015442940347063505
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,161,176,0.4550068680800324,0.0483211709195925,0.8187307530779818,0.8068621444809995,0.9855036487241222,-0.016311995072511465,-0.013091887187874018,0.0032201078846374465,0.0032201078846374465
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,162,177,0.39528470752104744,0.09517925164650996,0.8187307530779818,0.795352898964598,0.971446224506047,0.030000887603339965,0.032140113933018966,0.0021392263296790004,0.0021392263296790004
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,130,163,0.3365728004459065,0.1999345881576922,0.6065306597126334,0.5701507224162358,0.9400196235526923,-0.025706020066780022,-0.027367093140521437,-0.0016610730737414148,0.0016610730737414148
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,1,224,0.625,0.0051277318869988025,0.6065306597126334,0.6055976217313581,0.9984616804339004,0.0285823178758966,0.029012643155421403,0.0004303252795248014,0.0004303252795248014
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,11,28,0.5038911092686593,0.032382668305238727,0.8187307530779818,0.8107769471555151,0.9902851995084284,-0.016311995072511687,-0.015136600875658157,0.0011753941968535297,0.0011753941968535297
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,243,244,0.5038911092686593,0.03174886715103074,0.9048374180359596,0.8962191491424081,0.9904753398546908,-0.055402682473232545,-0.055288677478710246,0.00011400499452229873,0.00011400499452229873
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,146,164,0.2795084971874737,0.262558303742535,0.6065306597126334,0.5587557613580365,0.9212325088772395,0.03017561607688768,0.030827223599768416,0.0006516075228807372,0.0006516075228807372
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,125,156,0.2576941016011038,0.3499733624913697,0.6065306597126334,0.5428497873825118,0.8950079912525891,0.00969117226160976,0.006055160996488063,-0.003636011265121697,0.003636011265121697
