galaxy,f_lambda_opt,class_P14_lambda,bridge_best_error,bridge_best_verdict,beta_grav,beta_mod_bridge,beta_mod_ML,mi_ds_graph,mi_dw_graph,mi_norm_lambda2,delta3_proxy,Rd_fit,lambda_corr,mean_MI,max_MI,sigma_source,d_min,regime_LOW_HIGH
NGC4217,1.0,standard_1Rd,0.2742383783865946,moderate_bridge,0.6004339944159951,1.5673490743620078,2.1595921135616267,2.1597276421785,2.404354511231384,0.4116368798625515,0.0139752811394284,1.4047337414977328,1.4047337414977328,0.0458140303119049,5.623995859948978,SBdisk+SBbul,,
NGC4389,0.5,short_0p5Rd,0.0489131274046016,strong_bridge,0.6277410141683646,1.6144809904545974,1.6975115911850185,2.210783113791114,2.452880362436136,0.2856068389156088,0.0290740749220899,1.5280632016544773,0.7640316008272386,0.0482207140280331,1.5608158762721072,SBdisk+SBbul,,
NGC4559,0.5,short_0p5Rd,0.1449942366179899,strong_bridge,0.4321922613208278,1.2769638430397487,1.49351489513786,1.7762834212782364,2.357398202191392,0.23110197509341,0.0038721483817753,1.9795154170088125,0.989757708504406,0.027806371469762,5.07978611006483,SBdisk+SBbul,,
NGC5005,2.0,extended_1p5_2Rd,0.0890620940901948,strong_bridge,0.4620670646652107,1.3285277536121538,1.458417467308354,1.869950793333104,2.2934363142611107,0.203799386349312,0.0100758383996696,0.4517385988900764,0.9034771977801528,0.0439948276726607,6.173256189180606,SBdisk+SBbul,,
NGC5033,3.0,very_extended_3Rd,0.0006773456954546,strong_bridge,0.5660484953688139,1.5079997030065728,1.5090218324491294,2.054437179325776,2.4656508309027623,0.3447266064395261,0.010494782715121,0.989799665990601,2.969398997971803,0.0597119902317867,10.01693434487882,SBdisk+SBbul,,
NGC5055,2.0,extended_1p5_2Rd,0.0742838614423799,strong_bridge,0.4778365766713888,1.355745931334817,1.4645374266103175,1.887118134181579,2.348783008998269,0.2607956508457859,0.0096113648913605,1.4501696159511246,2.900339231902249,0.0577248913249523,9.47860576497429,SBdisk+SBbul,2.473312674745497,HIGH_massive
NGC5371,0.5,short_0p5Rd,0.1757005985757199,strong_bridge,0.5426931777019206,1.467688424713515,1.7805283155338263,1.720627693925035,2.8978773861505456,0.1860104818534028,0.0018909430378804,3.328312907923166,1.664156453961583,0.0187847150959794,4.493310775796563,SBdisk+SBbul,,
NGC5585,1.0,standard_1Rd,0.1511133549515187,strong_bridge,0.4014645810502428,1.2239278668927192,1.4418036542709642,1.6972026958856548,2.371743393264089,0.2193960821551213,0.0062818037794304,0.4437080365216754,0.4437080365216754,0.0504215533752802,8.156610952408782,SBdisk+SBbul,,
NGC5907,0.5,short_0p5Rd,0.1382483503792292,strong_bridge,0.4175347547784804,1.2516649867476572,1.452466017672812,1.7990702599334203,2.19824637889926,0.2352921937970179,0.0049315797931902,5.5410908254871805,2.7705454127435902,0.0126672992476973,2.4436483518209373,SBdisk+SBbul,,
NGC5985,0.5,short_0p5Rd,0.0795669424849281,strong_bridge,0.6181545519885061,1.5979347567321611,1.4801627336365666,2.1932629754320923,2.4344657203740745,0.3470221572182453,0.0217945205890965,8.189955275101287,4.094977637550644,0.0460969426323854,2.254188039326209,SBdisk+SBbul,,
