width,center,logM_low,logM_high,n,frac_Phi_better_logM,mean_delta_logM_minus_Phi,median_delta_logM_minus_Phi,p_mean_delta_one_sided,p_frac_one_sided,mean_abs_err_logM,mean_abs_err_Phi,names,tag
0.2,11.520000076293954,11.420000076293954,11.620000076293953,18,0.6666666666666666,0.04826484731980744,0.07225596408407864,0.005998000666444518,0.021326224591802733,0.38907683463346854,0.3408119873136611,J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J2238-0754;J2321-0939,measured_n_only
0.2,11.570000076293955,11.470000076293955,11.670000076293954,19,0.631578947368421,0.04757926384327282,0.0668449439168694,0.009330223258913695,0.04798400533155615,0.4649161498344707,0.4173368859911979,J0008-0004;J0029-0055;J0044+0113;J0330-0020;J0841+3824;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1213+6708;J1218+0830;J1251-0208;J1416+5136;J1636+4707;J2300+0022;J2321-0939,measured_n_only
0.15,11.520000076293954,11.445000076293955,11.595000076293953,15,0.6666666666666666,0.04382098872625385,0.07393199603084644,0.021992669110296566,0.039320226591136286,0.3484406155867558,0.30461962686050204,J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J2238-0754,measured_n_only
0.3,11.470000076293953,11.320000076293953,11.620000076293953,21,0.6666666666666666,0.042092312869871376,0.07057993213731084,0.006664445184938354,0.012662445851382872,0.3996478850460589,0.35755557217618755,J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1106+5228;J1134+6027;J1142+1001;J1143-0144;J1153+4612;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1451-0239;J2238-0754;J2321-0939,measured_n_only
0.25,11.520000076293954,11.395000076293954,11.645000076293954,21,0.6190476190476191,0.04148848855078806,0.07057993213731084,0.006664445184938354,0.04231922692435855,0.428724509553281,0.387236021002493,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1416+5136;J1636+4707;J2238-0754;J2321-0939,measured_n_only
0.25,11.570000076293955,11.445000076293955,11.695000076293955,27,0.6296296296296297,0.0402569680553362,0.0668449439168694,0.0026657780739753416,0.009996667777407531,0.4020556824463528,0.36179871439101646,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1416+5136;J1436-0000;J1531-0105;J1636+4707;J2238-0754;J2300+0022;J2321-0939,measured_n_only
0.25,11.545000076293954,11.420000076293954,11.670000076293954,23,0.6086956521739131,0.03790283554208514,0.0668449439168694,0.009663445518160613,0.04198600466511163,0.43445815356532036,0.3965553180232351,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0841+3824;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1416+5136;J1636+4707;J2238-0754;J2300+0022;J2321-0939,measured_n_only
0.25,11.495000076293953,11.370000076293953,11.620000076293953,19,0.631578947368421,0.03740987078301038,0.07057993213731084,0.01866044651782739,0.048317227590803064,0.38636841254316406,0.3489585417601537,J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1403+0006;J1451-0239;J2238-0754;J2321-0939,measured_n_only
0.1,11.645000076293957,11.595000076293957,11.695000076293958,12,0.5833333333333334,0.03580194221668915,0.01776589372904311,0.07064311896034656,0.21159613462179275,0.4690745160208489,0.4332725738041597,J0008-0004;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J1143-0144;J1416+5136;J1436-0000;J1531-0105;J1636+4707;J2300+0022;J2321-0939,measured_n_only
0.15,11.645000076293956,11.570000076293956,11.720000076293955,20,0.55,0.03573076376256716,0.01776589372904311,0.02032655781406198,0.20393202265911362,0.4445678301469346,0.40883706638436745,J0008-0004;J0029-0055;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1143-0144;J1218+0830;J1416+5136;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1636+4707;J2300+0022;J2303+1422;J2321-0939,measured_n_only
